GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Game,Platform,Hours,whyplay,League,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Residence,Playstyle,GAD_T,SWL_T,SPIN_T
0,0,0,0,0,0,1,Not difficult at all,5,2,4,6,2,Other,PC,20.0,improving,unranked,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Male,30,Employed,Bosnia and Herzegovina,other,1,19,8.0
1,1,1,2,2,1,0,Somewhat difficult,1,1,1,1,2,Skyrim,PC,10.0,relaxing,undefined,0.0,1.0,0.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,Male,29,Unemployed / between jobs,USA,singleplayer,8,6,36.0
0,0,0,0,0,0,0,Not difficult at all,6,6,6,7,6,Other,"Console (PS, Xbox, ...)",6.0,relaxing,undefined,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Male,22,Employed,Ireland,multiplayer - online - with strangers,0,31,11.0
1,0,0,0,0,0,1,Not difficult at all,1,6,1,3,5,Other,"Console (PS, Xbox, ...)",7.0,having_fun,undefined,0.0,1.0,0.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,Female,20,Employed,Finland,singleplayer,2,16,26.0
3,3,3,2,0,1,3,Extremely difficult,1,1,1,2,4,Starcraft 2,PC,60.0,improving,undefined,10.0,0.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,Male,24,Student at college / university,Germany,multiplayer - online - with online acquaintances or teammates,15,9,37.0
0,0,0,1,1,1,0,Not difficult at all,5,7,7,7,5,Other,PC,10.0,having_fun,undefined,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,Male,33,Employed,Canada,singleplayer,3,31,5.0
0,0,0,0,0,0,0,Not difficult at all,7,7,7,7,7,World of Warcraft,PC,21.0,having_fun,unranked,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Male,41,Employed,UK,multiplayer - online - with real life friends,0,35,0.0
1,1,1,2,1,2,2,Somewhat difficult,1,2,2,2,1,Other,PC,20.0,having_fun,undefined,0.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,Female,25,Unemployed / between jobs,UK,multiplayer - online - with real life friends,10,8,47.0
1,0,0,1,0,1,1,Somewhat difficult,1,1,2,2,1,Other,PC,21.0,having_fun,undefined,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,Male,26,Unemployed / between jobs,Malaysia,singleplayer,4,7,20.0
0,0,0,0,0,0,0,Not difficult at all,4,3,3,3,3,Skyrim,PC,20.0,having_fun,unranked,0.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,3.0,Female,20,Student at college / university,UK,singleplayer,0,16,39.0
